,,Season,Seed,Team,Team_Name,Slot,StrongSeed,DayZero,Daynum,Wteam,Wscore,Lteam,Lscore,Wloc,Numot,Wfgm,Wfga,Wfgm3,Wfga3,Wftm,Wfta,Wor,Wdr,Wast,Wto,Wstl,Wblk,Wpf,Lfgm,Lfga,Lfgm3,Lfga3,Lftm,Lfta,Lor,Ldr,Last,Lto,Lstl,Lblk,Lpf
2003-W11,2003-R1W6,2003,W11,1335,Penn,R1W6,0,11/4/2002,137,0,77,1,63,N,0,27,50,7,20,16,28,10,15,15,11,12,0,17,20,41,8,18,15,16,2,13,17,18,5,0,20
2003-W12,2003-R1W5,2003,W12,1139,Butler,R1W5,0,11/4/2002,137,1,47,0,46,N,0,18,47,5,18,6,8,7,19,5,8,3,0,15,16,44,6,21,8,14,8,22,10,10,6,4,13
2003-W13,2003-R1W4,2003,W13,1122,Austin Peay,R1W4,0,11/4/2002,137,0,86,1,64,N,0,35,70,8,24,8,13,15,29,18,12,12,4,22,24,54,2,21,14,22,8,21,11,18,5,3,18
2003-W14,2003-R1W3,2003,W14,1264,Manhattan,R1W3,0,11/4/2002,137,0,76,1,65,N,0,30,52,4,11,12,15,11,28,16,18,5,9,17,22,61,6,21,15,18,14,14,16,11,9,2,14
2003-W15,2003-R1W2,2003,W15,1190,ETSU,R1W2,0,11/4/2002,137,0,76,1,73,N,0,29,69,6,23,12,20,19,29,13,19,8,9,19,24,60,5,10,20,28,13,25,7,15,12,4,20
2003-W16,2003-R1W1,2003,W16,1354,S Carolina St,R1W1,0,11/4/2002,136,0,71,1,54,N,0,24,52,10,18,13,24,11,24,16,14,8,3,12,21,52,6,20,6,8,7,22,8,18,7,2,23
2003-X01,2003-R1X1,2003,X01,1400,Texas,R1X1,1,11/4/2002,137,1,82,0,61,N,0,31,62,6,16,14,20,19,28,15,14,6,2,16,23,62,5,21,10,12,13,16,5,11,9,3,16
2003-X02,2003-R1X2,2003,X02,1196,Florida,R1X2,1,11/4/2002,137,1,85,0,55,N,0,32,61,13,28,8,14,9,31,24,10,6,3,15,19,57,6,18,11,18,12,25,10,16,1,4,16
2003-X03,2003-R1X3,2003,X03,1462,Xavier,R1X3,1,11/4/2002,137,1,71,0,59,N,0,26,64,6,20,13,18,17,30,19,10,5,4,11,23,65,11,29,2,6,12,21,13,9,6,6,19
2003-X04,2003-R1X4,2003,X04,1390,Stanford,R1X4,1,11/4/2002,136,1,77,0,69,N,0,29,64,8,24,11,15,12,29,16,14,4,8,24,20,61,4,18,25,32,17,25,7,11,3,0,18
2003-X05,2003-R1X5,2003,X05,1163,Connecticut,R1X5,1,11/4/2002,136,1,58,0,53,N,0,17,52,4,14,20,27,12,29,8,14,3,8,16,20,64,2,17,11,13,15,26,11,11,8,4,22
2003-X06,2003-R1X6,2003,X06,1268,Maryland,R1X6,1,11/4/2002,137,1,75,0,73,N,0,27,54,10,19,11,15,8,27,17,13,3,3,20,20,55,13,29,20,26,10,19,16,8,7,1,19
2003-X07,2003-R1X7,2003,X07,1277,Michigan St,R1X7,1,11/4/2002,137,1,79,0,64,N,0,26,56,7,13,20,25,10,28,16,11,5,1,18,26,60,5,14,7,17,12,23,9,13,6,8,19
2003-X08,2003-R1X8,2003,X08,1261,LSU,R1X8,1,11/4/2002,137,0,80,1,56,N,0,27,52,9,16,17,19,8,25,7,19,9,1,18,20,60,6,26,10,17,17,18,7,16,7,3,13
2003-X09,2003-R1X8,2003,X09,1345,Purdue,R1X8,0,11/4/2002,137,1,80,0,56,N,0,27,52,9,16,17,19,8,25,7,19,9,1,18,20,60,6,26,10,17,17,18,7,16,7,3,13
2003-X10,2003-R1X7,2003,X10,1160,Colorado,R1X7,0,11/4/2002,137,0,79,1,64,N,0,26,56,7,13,20,25,10,28,16,11,5,1,18,26,60,5,14,7,17,12,23,9,13,6,8,19
2003-X11,2003-R1X6,2003,X11,1423,UNC Wilmington,R1X6,0,11/4/2002,137,0,75,1,73,N,0,27,54,10,19,11,15,8,27,17,13,3,3,20,20,55,13,29,20,26,10,19,16,8,7,1,19
2003-X12,2003-R1X5,2003,X12,1140,BYU,R1X5,0,11/4/2002,136,0,58,1,53,N,0,17,52,4,14,20,27,12,29,8,14,3,8,16,20,64,2,17,11,13,15,26,11,11,8,4,22
2003-X13,2003-R1X4,2003,X13,1360,San Diego,R1X4,0,11/4/2002,136,0,77,1,69,N,0,29,64,8,24,11,15,12,29,16,14,4,8,24,20,61,4,18,25,32,17,25,7,11,3,0,18
2003-X14,2003-R1X3,2003,X14,1407,Troy,R1X3,0,11/4/2002,137,0,71,1,59,N,0,26,64,6,20,13,18,17,30,19,10,5,4,11,23,65,11,29,2,6,12,21,13,9,6,6,19
2003-X15,2003-R1X2,2003,X15,1358,Sam Houston St,R1X2,0,11/4/2002,137,0,85,1,55,N,0,32,61,13,28,8,14,9,31,24,10,6,3,15,19,57,6,18,11,18,12,25,10,16,1,4,16
2003-X16a,2003-X16,2003,X16a,1411,TX Southern,X16,1,11/4/2002,134,0,92,1,84,N,1,32,69,11,29,17,26,14,30,17,12,5,3,22,29,67,12,31,14,31,17,28,16,15,5,0,22
2003-X16b,2003-X16,2003,X16b,1421,UNC Asheville,X16,0,11/4/2002,134,1,92,0,84,N,1,32,69,11,29,17,26,14,30,17,12,5,3,22,29,67,12,31,14,31,17,28,16,15,5,0,22
2003-Y01,2003-R1Y1,2003,Y01,1246,Kentucky,R1Y1,1,11/4/2002,137,1,95,0,64,N,0,40,65,10,20,5,11,10,25,22,13,7,4,17,22,60,4,15,16,22,15,18,10,19,7,1,15
2003-Y02,2003-R1Y2,2003,Y02,1338,Pittsburgh,R1Y2,1,11/4/2002,137,1,87,0,61,N,0,33,59,9,16,12,21,10,23,22,9,14,6,19,21,51,7,21,12,18,9,20,13,19,6,2,20
2003-Y03,2003-R1Y3,2003,Y03,1266,Marquette,R1Y3,1,11/4/2002,136,1,72,0,68,N,0,22,51,9,16,19,23,11,20,14,10,4,3,23,24,54,5,15,15,25,14,20,14,9,4,1,20
2003-Y04,2003-R1Y4,2003,Y04,1173,Dayton,R1Y4,1,11/4/2002,136,0,84,1,71,N,0,33,57,8,12,10,13,8,26,18,12,6,1,11,28,66,9,28,6,9,12,16,11,11,3,3,19
2003-Y05,2003-R1Y5,2003,Y05,1458,Wisconsin,R1Y5,1,11/4/2002,136,1,81,0,74,N,0,31,58,6,16,13,22,10,24,16,9,7,2,16,29,71,7,24,9,15,22,21,9,10,4,0,20
2003-Y06,2003-R1Y6,2003,Y06,1281,Missouri,R1Y6,1,11/4/2002,136,1,72,0,71,N,0,28,52,5,13,11,18,9,32,7,23,4,6,19,26,65,8,19,11,21,11,18,19,13,6,0,19
2003-Y07,2003-R1Y7,2003,Y07,1231,Indiana,R1Y7,1,11/4/2002,137,1,67,0,62,N,0,19,49,7,18,22,26,13,22,15,8,1,2,17,22,52,5,12,13,16,9,20,13,8,2,6,21
2003-Y08,2003-R1Y8,2003,Y08,1332,Oregon,R1Y8,1,11/4/2002,137,0,60,1,58,N,0,18,61,9,23,15,18,13,23,8,15,7,4,22,19,55,3,17,17,24,13,29,8,17,6,2,22
2003-Y09,2003-R1Y8,2003,Y09,1428,Utah,R1Y8,0,11/4/2002,137,1,60,0,58,N,0,18,61,9,23,15,18,13,23,8,15,7,4,22,19,55,3,17,17,24,13,29,8,17,6,2,22
2003-Y10,2003-R1Y7,2003,Y10,1104,Alabama,R1Y7,0,11/4/2002,137,0,67,1,62,N,0,19,49,7,18,22,26,13,22,15,8,1,2,17,22,52,5,12,13,16,9,20,13,8,2,6,21
2003-Y11,2003-R1Y6,2003,Y11,1356,S Illinois,R1Y6,0,11/4/2002,136,0,72,1,71,N,0,28,52,5,13,11,18,9,32,7,23,4,6,19,26,65,8,19,11,21,11,18,19,13,6,0,19
2003-Y12,2003-R1Y5,2003,Y12,1451,Weber St,R1Y5,0,11/4/2002,136,0,81,1,74,N,0,31,58,6,16,13,22,10,24,16,9,7,2,16,29,71,7,24,9,15,22,21,9,10,4,0,20
2003-Y13,2003-R1Y4,2003,Y13,1409,Tulsa,R1Y4,0,11/4/2002,136,1,84,0,71,N,0,33,57,8,12,10,13,8,26,18,12,6,1,11,28,66,9,28,6,9,12,16,11,11,3,3,19
2003-Y14,2003-R1Y3,2003,Y14,1221,Holy Cross,R1Y3,0,11/4/2002,136,0,72,1,68,N,0,22,51,9,16,19,23,11,20,14,10,4,3,23,24,54,5,15,15,25,14,20,14,9,4,1,20
2003-Y15,2003-R1Y2,2003,Y15,1447,Wagner,R1Y2,0,11/4/2002,137,0,87,1,61,N,0,33,59,9,16,12,21,10,23,22,9,14,6,19,21,51,7,21,12,18,9,20,13,19,6,2,20
2003-Y16,2003-R1Y1,2003,Y16,1237,IUPUI,R1Y1,0,11/4/2002,137,0,95,1,64,N,0,40,65,10,20,5,11,10,25,22,13,7,4,17,22,60,4,15,16,22,15,18,10,19,7,1,15
2003-Z01,2003-R1Z1,2003,Z01,1112,Arizona,R1Z1,1,11/4/2002,136,1,80,0,51,N,0,31,66,7,23,11,14,11,36,22,16,10,7,8,20,64,4,16,7,7,8,26,12,17,10,3,15
2003-Z02,2003-R1Z2,2003,Z02,1242,Kansas,R1Z2,1,11/4/2002,136,1,64,0,61,N,0,28,51,2,6,6,11,7,20,13,11,8,4,17,23,56,6,17,9,10,13,19,13,13,6,1,15
2003-Z03,2003-R1Z3,2003,Z03,1181,Duke,R1Z3,1,11/4/2002,136,1,67,0,57,N,0,19,54,4,13,25,31,13,27,4,16,10,8,23,18,54,3,11,18,22,11,24,8,19,5,4,19
2003-Z04,2003-R1Z4,2003,Z04,1228,Illinois,R1Z4,1,11/4/2002,136,1,65,0,60,N,0,24,56,5,14,12,14,15,23,15,14,11,4,14,22,58,8,24,8,13,17,18,10,14,6,5,16
2003-Z05,2003-R1Z5,2003,Z05,1323,Notre Dame,R1Z5,1,11/4/2002,136,1,70,0,69,N,0,23,54,3,13,21,25,11,33,7,20,6,6,19,23,66,8,23,15,20,14,23,15,12,11,3,25
2003-Z06,2003-R1Z6,2003,Z06,1166,Creighton,R1Z6,1,11/4/2002,136,0,79,1,73,N,0,29,53,3,7,18,25,11,20,15,18,13,1,19,27,60,7,17,12,17,14,17,20,21,6,6,21
2003-Z07,2003-R1Z7,2003,Z07,1272,Memphis,R1Z7,1,11/4/2002,136,0,84,1,71,N,0,31,59,6,14,16,22,10,27,18,9,7,4,19,25,69,7,28,14,21,20,22,11,12,2,5,18
2003-Z08,2003-R1Z8,2003,Z08,1153,Cincinnati,R1Z8,1,11/4/2002,136,0,74,1,69,N,0,20,47,6,14,28,37,8,28,12,12,2,2,15,26,66,10,27,7,10,13,22,13,10,7,6,24
2003-Z09,2003-R1Z8,2003,Z09,1211,Gonzaga,R1Z8,0,11/4/2002,136,1,74,0,69,N,0,20,47,6,14,28,37,8,28,12,12,2,2,15,26,66,10,27,7,10,13,22,13,10,7,6,24
2003-Z10,2003-R1Z7,2003,Z10,1113,Arizona St,R1Z7,0,11/4/2002,136,1,84,0,71,N,0,31,59,6,14,16,22,10,27,18,9,7,4,19,25,69,7,28,14,21,20,22,11,12,2,5,18
2003-Z11,2003-R1Z6,2003,Z11,1141,C Michigan,R1Z6,0,11/4/2002,136,1,79,0,73,N,0,29,53,3,7,18,25,11,20,15,18,13,1,19,27,60,7,17,12,17,14,17,20,21,6,6,21
2003-Z12,2003-R1Z5,2003,Z12,1454,WI Milwaukee,R1Z5,0,11/4/2002,136,0,70,1,69,N,0,23,54,3,13,21,25,11,33,7,20,6,6,19,23,66,8,23,15,20,14,23,15,12,11,3,25
2003-Z13,2003-R1Z4,2003,Z13,1443,WKU,R1Z4,0,11/4/2002,136,0,65,1,60,N,0,24,56,5,14,12,14,15,23,15,14,11,4,14,22,58,8,24,8,13,17,18,10,14,6,5,16
2003-Z14,2003-R1Z3,2003,Z14,1161,Colorado St,R1Z3,0,11/4/2002,136,0,67,1,57,N,0,19,54,4,13,25,31,13,27,4,16,10,8,23,18,54,3,11,18,22,11,24,8,19,5,4,19
2003-Z15,2003-R1Z2,2003,Z15,1429,Utah St,R1Z2,0,11/4/2002,136,0,64,1,61,N,0,28,51,2,6,6,11,7,20,13,11,8,4,17,23,56,6,17,9,10,13,19,13,13,6,1,15
2003-Z16,2003-R1Z1,2003,Z16,1436,Vermont,R1Z1,0,11/4/2002,136,0,80,1,51,N,0,31,66,7,23,11,14,11,36,22,16,10,7,8,20,64,4,16,7,7,8,26,12,17,10,3,15
2004-W01,2004-R1W1,2004,W01,1181,Duke,R1W1,1,11/3/2003,136,1,96,0,61,N,0,32,66,9,26,23,31,17,29,19,14,14,4,19,22,57,7,20,10,17,9,22,7,21,7,1,20
2004-W02,2004-R1W2,2004,W02,1280,Mississippi St,R1W2,1,11/3/2003,137,1,85,0,52,N,0,30,56,8,22,17,23,13,34,19,17,12,3,13,18,51,9,27,7,15,3,17,12,17,7,0,18
2004-W03,2004-R1W3,2004,W03,1400,Texas,R1W3,1,11/3/2003,136,1,66,0,49,N,0,23,50,11,15,9,14,17,26,10,13,3,1,16,18,51,5,26,8,12,9,14,11,7,5,0,18
2004-W04,2004-R1W4,2004,W04,1153,Cincinnati,R1W4,1,11/3/2003,137,1,80,0,77,N,0,29,62,13,32,9,11,12,33,22,17,3,11,19,29,74,6,23,13,20,17,21,14,6,11,3,14
2004-W05,2004-R1W5,2004,W05,1228,Illinois,R1W5,1,11/3/2003,137,1,72,0,53,N,0,27,60,9,24,9,13,16,28,19,8,5,5,17,17,49,8,20,11,17,9,18,8,10,4,2,13
2004-W06,2004-R1W6,2004,W06,1314,North Carolina,R1W6,1,11/3/2003,136,1,63,0,52,N,0,22,53,4,13,15,18,14,21,12,13,10,1,15,17,39,8,25,10,13,2,19,15,16,7,2,15
2004-W07,2004-R1W7,2004,W07,1462,Xavier,R1W7,1,11/3/2003,137,1,80,0,70,N,0,23,46,9,18,25,29,12,27,15,15,6,1,12,25,63,10,32,10,13,13,13,18,10,7,1,23
2004-W08,2004-R1W8,2004,W08,1371,Seton Hall,R1W8,1,11/3/2003,136,1,80,0,76,N,0,27,58,8,22,18,24,12,21,12,10,6,0,19,28,53,5,11,15,19,7,22,12,14,4,3,15
2004-W09,2004-R1W8,2004,W09,1112,Arizona,R1W8,0,11/3/2003,136,0,80,1,76,N,0,27,58,8,22,18,24,12,21,12,10,6,0,19,28,53,5,11,15,19,7,22,12,14,4,3,15
2004-W10,2004-R1W7,2004,W10,1257,Louisville,R1W7,0,11/3/2003,137,0,80,1,70,N,0,23,46,9,18,25,29,12,27,15,15,6,1,12,25,63,10,32,10,13,13,13,18,10,7,1,23
2004-W11,2004-R1W6,2004,W11,1102,Air Force,R1W6,0,11/3/2003,136,0,63,1,52,N,0,22,53,4,13,15,18,14,21,12,13,10,1,15,17,39,8,25,10,13,2,19,15,16,7,2,15
2004-W12,2004-R1W5,2004,W12,1293,Murray St,R1W5,0,11/3/2003,137,0,72,1,53,N,0,27,60,9,24,9,13,16,28,19,8,5,5,17,17,49,8,20,11,17,9,18,8,10,4,2,13
2004-W13,2004-R1W4,2004,W13,1190,ETSU,R1W4,0,11/3/2003,137,0,80,1,77,N,0,29,62,13,32,9,11,12,33,22,17,3,11,19,29,74,6,23,13,20,17,21,14,6,11,3,14
2004-W14,2004-R1W3,2004,W14,1343,Princeton,R1W3,0,11/3/2003,136,0,66,1,49,N,0,23,50,11,15,9,14,17,26,10,13,3,1,16,18,51,5,26,8,12,9,14,11,7,5,0,18
2004-W15,2004-R1W2,2004,W15,1284,Monmouth NJ,R1W2,0,11/3/2003,137,0,85,1,52,N,0,30,56,8,22,17,23,13,34,19,17,12,3,13,18,51,9,27,7,15,3,17,12,17,7,0,18
2004-W16,2004-R1W1,2004,W16,1106,Alabama St,R1W1,0,11/3/2003,136,0,96,1,61,N,0,32,66,9,26,23,31,17,29,19,14,14,4,19,22,57,7,20,10,17,9,22,7,21,7,1,20
2004-X01,2004-R1X1,2004,X01,1390,Stanford,R1X1,1,11/3/2003,136,1,71,0,45,N,0,27,54,6,14,11,15,11,29,11,20,11,9,20,15,63,2,15,13,21,22,17,2,19,8,3,15
2004-X02,2004-R1X2,2004,X02,1163,Connecticut,R1X2,1,11/3/2003,136,1,70,0,53,N,0,26,52,6,14,12,23,11,31,14,13,6,3,8,19,60,11,32,4,6,11,18,10,12,7,1,19
2004-X03,2004-R1X3,2004,X03,1301,NC State,R1X3,1,11/3/2003,137,1,61,0,52,N,0,18,49,5,17,20,24,13,24,10,15,5,0,20,16,49,5,22,15,23,11,21,9,15,9,2,21
2004-X04,2004-R1X4,2004,X04,1268,Maryland,R1X4,1,11/3/2003,136,1,86,0,83,N,0,29,59,8,18,20,31,16,21,17,14,7,6,20,29,56,5,17,20,24,9,20,13,14,2,2,25
2004-X05,2004-R1X5,2004,X05,1393,Syracuse,R1X5,1,11/3/2003,136,1,80,0,75,N,0,24,46,11,16,21,28,5,18,12,7,2,4,15,26,55,10,26,13,19,15,21,19,9,2,1,23
2004-X06,2004-R1X6,2004,X06,1435,Vanderbilt,R1X6,1,11/3/2003,137,1,71,0,58,N,0,26,46,11,19,8,18,8,25,16,17,9,5,15,22,63,2,19,12,16,18,18,10,12,13,1,19
2004-X07,2004-R1X7,2004,X07,1177,DePaul,R1X7,1,11/3/2003,136,1,76,0,69,N,2,24,59,5,13,23,40,11,38,13,11,4,3,19,27,79,3,20,12,23,18,32,11,10,5,3,29
2004-X08,2004-R1X8,2004,X08,1104,Alabama,R1X8,1,11/3/2003,136,1,65,0,64,N,0,24,53,7,16,10,16,11,24,7,12,7,2,7,24,59,12,22,4,5,10,20,15,10,4,1,14
2004-X09,2004-R1X8,2004,X09,1356,S Illinois,R1X8,0,11/3/2003,136,0,65,1,64,N,0,24,53,7,16,10,16,11,24,7,12,7,2,7,24,59,12,22,4,5,10,20,15,10,4,1,14
2004-X10,2004-R1X7,2004,X10,1173,Dayton,R1X7,0,11/3/2003,136,0,76,1,69,N,2,24,59,5,13,23,40,11,38,13,11,4,3,19,27,79,3,20,12,23,18,32,11,10,5,3,29
2004-X11,2004-R1X6,2004,X11,1444,W Michigan,R1X6,0,11/3/2003,137,0,71,1,58,N,0,26,46,11,19,8,18,8,25,16,17,9,5,15,22,63,2,19,12,16,18,18,10,12,13,1,19
2004-X12,2004-R1X5,2004,X12,1140,BYU,R1X5,0,11/3/2003,136,0,80,1,75,N,0,24,46,11,16,21,28,5,18,12,7,2,4,15,26,55,10,26,13,19,15,21,19,9,2,1,23
2004-X13,2004-R1X4,2004,X13,1431,UTEP,R1X4,0,11/3/2003,136,0,86,1,83,N,0,29,59,8,18,20,31,16,21,17,14,7,6,20,29,56,5,17,20,24,9,20,13,14,2,2,25
2004-X14,2004-R1X3,2004,X14,1418,ULL,R1X3,0,11/3/2003,137,0,61,1,52,N,0,18,49,5,17,20,24,13,24,10,15,5,0,20,16,49,5,22,15,23,11,21,9,15,9,2,21
2004-X15,2004-R1X2,2004,X15,1436,Vermont,R1X2,0,11/3/2003,136,0,70,1,53,N,0,26,52,6,14,12,23,11,31,14,13,6,3,8,19,60,11,32,4,6,11,18,10,12,7,1,19
2004-X16,2004-R1X1,2004,X16,1427,UT San Antonio,R1X1,0,11/3/2003,136,0,71,1,45,N,0,27,54,6,14,11,15,11,29,11,20,11,9,20,15,63,2,15,13,21,22,17,2,19,8,3,15
2004-Y01,2004-R1Y1,2004,Y01,1386,St Joseph's PA,R1Y1,1,11/3/2003,136,1,82,0,63,N,0,27,60,8,23,20,28,10,26,16,14,15,3,17,22,51,6,20,13,18,7,29,15,26,7,1,22
2004-Y02,2004-R1Y2,2004,Y02,1329,Oklahoma St,R1Y2,1,11/3/2003,137,1,75,0,56,N,0,30,55,2,6,13,16,11,26,15,15,12,5,16,21,59,3,19,11,13,12,15,19,14,8,2,15
2004-Y03,2004-R1Y3,2004,Y03,1338,Pittsburgh,R1Y3,1,11/3/2003,137,1,53,0,44,N,0,13,44,5,16,22,31,10,27,7,13,8,1,15,16,52,5,20,7,10,9,24,10,14,6,0,22
2004-Y04,2004-R1Y4,2004,Y04,1448,Wake Forest,R1Y4,1,11/3/2003,136,1,79,0,78,N,0,28,54,6,16,17,27,9,23,16,11,7,2,16,29,57,11,20,9,13,7,20,17,17,7,4,22
2004-Y05,2004-R1Y5,2004,Y05,1196,Florida,R1Y5,1,11/3/2003,136,0,75,1,60,N,0,26,60,6,15,17,21,13,23,10,10,8,4,21,21,45,3,13,15,22,4,22,4,14,4,4,18
2004-Y06,2004-R1Y6,2004,Y06,1458,Wisconsin,R1Y6,1,11/3/2003,137,1,76,0,64,N,0,25,51,8,18,18,24,11,18,14,9,7,3,11,25,54,7,16,7,13,13,16,17,14,8,3,19
2004-Y07,2004-R1Y7,2004,Y07,1272,Memphis,R1Y7,1,11/3/2003,137,1,59,0,43,N,0,23,59,9,27,4,7,14,22,16,9,3,4,15,15,42,2,13,11,16,4,21,9,12,5,4,14
2004-Y08,2004-R1Y8,2004,Y08,1403,Texas Tech,R1Y8,1,11/3/2003,136,1,76,0,73,N,0,29,59,4,11,14,18,14,22,17,16,7,2,16,25,58,6,24,17,21,13,20,14,14,11,4,20
2004-Y09,2004-R1Y8,2004,Y09,1150,Charlotte,R1Y8,0,11/3/2003,136,0,76,1,73,N,0,29,59,4,11,14,18,14,22,17,16,7,2,16,25,58,6,24,17,21,13,20,14,14,11,4,20
2004-Y10,2004-R1Y7,2004,Y10,1376,South Carolina,R1Y7,0,11/3/2003,137,0,59,1,43,N,0,23,59,9,27,4,7,14,22,16,9,3,4,15,15,42,2,13,11,16,4,21,9,12,5,4,14
2004-Y11,2004-R1Y6,2004,Y11,1350,Richmond,R1Y6,0,11/3/2003,137,0,76,1,64,N,0,25,51,8,18,18,24,11,18,14,9,7,3,11,25,54,7,16,7,13,13,16,17,14,8,3,19
2004-Y12,2004-R1Y5,2004,Y12,1264,Manhattan,R1Y5,0,11/3/2003,136,1,75,0,60,N,0,26,60,6,15,17,21,13,23,10,10,8,4,21,21,45,3,13,15,22,4,22,4,14,4,4,18
2004-Y13,2004-R1Y4,2004,Y13,1433,VA Commonwealth,R1Y4,0,11/3/2003,136,0,79,1,78,N,0,28,54,6,16,17,27,9,23,16,11,7,2,16,29,57,11,20,9,13,7,20,17,17,7,4,22
2004-Y14,2004-R1Y3,2004,Y14,1416,UCF,R1Y3,0,11/3/2003,137,0,53,1,44,N,0,13,44,5,16,22,31,10,27,7,13,8,1,15,16,52,5,20,7,10,9,24,10,14,6,0,22
2004-Y15,2004-R1Y2,2004,Y15,1186,E Washington,R1Y2,0,11/3/2003,137,0,75,1,56,N,0,30,55,2,6,13,16,11,26,15,15,12,5,16,21,59,3,19,11,13,12,15,19,14,8,2,15
2004-Y16,2004-R1Y1,2004,Y16,1251,Liberty,R1Y1,0,11/3/2003,136,0,82,1,63,N,0,27,60,8,23,20,28,10,26,16,14,15,3,17,22,51,6,20,13,18,7,29,15,26,7,1,22
2004-Z01,2004-R1Z1,2004,Z01,1246,Kentucky,R1Z1,1,11/3/2003,137,1,96,0,76,N,0,35,62,11,28,15,23,13,29,23,17,8,5,15,30,66,11,30,5,12,12,17,13,17,13,1,19
2004-Z02,2004-R1Z2,2004,Z02,1211,Gonzaga,R1Z2,1,11/3/2003,136,1,76,0,49,N,0,29,54,3,13,15,25,10,36,19,15,6,5,14,18,63,6,23,7,11,10,21,8,13,6,0,20
2004-Z03,2004-R1Z3,2004,Z03,1210,Georgia Tech,R1Z3,1,11/3/2003,137,1,65,0,60,N,0,25,55,6,18,9,12,8,29,10,12,4,3,14,21,54,10,27,8,10,3,25,15,10,2,1,16
2004-Z04,2004-R1Z4,2004,Z04,1242,Kansas,R1Z4,1,11/3/2003,137,1,78,0,53,N,0,24,39,5,12,25,40,6,35,18,25,6,8,19,20,64,3,16,10,14,11,15,10,15,9,0,25
2004-Z05,2004-R1Z5,2004,Z05,1344,Providence,R1Z5,1,11/3/2003,137,0,66,1,58,N,0,24,50,6,14,12,18,7,22,17,12,7,1,11,23,61,6,26,6,6,15,21,12,15,4,2,18
2004-Z06,2004-R1Z6,2004,Z06,1130,Boston College,R1Z6,1,11/3/2003,137,1,58,0,51,N,0,23,44,3,4,9,11,4,21,20,8,4,3,13,19,50,3,18,10,10,9,17,12,8,2,0,12
2004-Z07,2004-R1Z7,2004,Z07,1277,Michigan St,R1Z7,1,11/3/2003,136,0,72,1,66,N,0,20,46,7,22,25,29,5,23,10,17,6,2,16,23,55,5,16,15,18,6,20,14,14,9,0,25
2004-Z08,2004-R1Z8,2004,Z08,1449,Washington,R1Z8,1,11/3/2003,137,0,102,1,100,N,0,30,65,9,26,33,44,11,26,23,12,8,2,26,35,64,6,20,24,34,10,31,19,16,6,5,30
2004-Z09,2004-R1Z8,2004,Z09,1412,UAB,R1Z8,0,11/3/2003,137,1,102,0,100,N,0,30,65,9,26,33,44,11,26,23,12,8,2,26,35,64,6,20,24,34,10,31,19,16,6,5,30
2004-Z10,2004-R1Z7,2004,Z10,1305,Nevada,R1Z7,0,11/3/2003,136,1,72,0,66,N,0,20,46,7,22,25,29,5,23,10,17,6,2,16,23,55,5,16,15,18,6,20,14,14,9,0,25
