Unique ID,Season,Team,games_won,games_lost,total_wscore,total_lscore,win_score_diff,lose_score_diff,avg_win_score_diff,avg_lose_score_diff,seed,seed_number,ncaa_champ,final_four
1104-2004,2004,1104,17,12,1298,796,229,91,13.47058824,7.583333333,X08,08,0,0
1104-2005,2005,1104,23,7,1823,440,395,77,17.17391304,11,X05,05,0,0
1104-2006,2006,1104,17,12,1269,760,189,107,11.11764706,8.916666667,X10,10,0,0
1104-2007,2007,1104,20,11,1536,746,303,155,15.15,14.09090909,0,0,0,0
1104-2008,2008,1104,17,16,1383,1101,208,128,12.23529412,8,0,0,0,0
1104-2009,2009,1104,16,14,1216,969,186,141,11.625,10.07142857,0,0,0,0
1104-2010,2010,1104,17,15,1236,956,216,97,12.70588235,6.466666667,0,0,0,0
1104-2011,2011,1104,21,11,1468,665,345,108,16.42857143,9.818181818,0,0,0,0
1104-2012,2012,1104,21,11,1443,635,297,79,14.14285714,7.181818182,X09,09,0,0
1104-2013,2013,1104,20,12,1270,733,199,94,9.95,7.833333333,0,0,0,0
1104-2014,2014,1104,12,19,883,1185,156,173,13,9.105263158,0,0,0,0
1104-2015,2015,1104,17,14,1152,914,176,110,10.35294118,7.857142857,0,0,0,0
1104-2016,2016,1104,18,14,1280,859,143,174,7.944444444,12.42857143,0,0,0,0
1105-2003,2003,1105,7,19,556,1310,91,218,13,11.47368421,0,0,0,0
1105-2004,2004,1105,13,16,984,1040,119,223,9.153846154,13.9375,0,0,0,0
1105-2005,2005,1105,16,13,1158,845,184,147,11.5,11.30769231,Z16a,16,0,0
1105-2006,2006,1105,11,12,911,790,146,116,13.27272727,9.666666667,0,0,0,0
1105-2007,2007,1105,6,20,443,1118,57,305,9.5,15.25,0,0,0,0
1105-2008,2008,1105,11,15,786,883,133,221,12.09090909,14.73333333,0,0,0,0
1105-2009,2009,1105,7,17,504,1032,57,251,8.142857143,14.76470588,0,0,0,0
1105-2010,2010,1105,8,15,580,888,94,243,11.75,16.2,0,0,0,0
1105-2011,2011,1105,10,15,682,888,110,196,11,13.06666667,0,0,0,0
1105-2012,2012,1105,5,21,348,1241,44,266,8.8,12.66666667,0,0,0,0
1105-2013,2013,1105,9,20,618,1168,90,339,10,16.95,0,0,0,0
1105-2014,2014,1105,12,16,854,933,110,202,9.166666667,12.625,0,0,0,0
1105-2015,2015,1105,8,20,579,1137,72,280,9,14,0,0,0,0
1105-2016,2016,1105,10,18,727,1152,85,159,8.5,8.833333333,0,0,0,0
1106-2003,2003,1106,13,15,888,893,135,139,10.38461538,9.266666667,0,0,0,0
1106-2004,2004,1106,16,14,1087,756,198,173,12.375,12.35714286,W16,16,0,0
1106-2005,2005,1106,15,15,932,807,97,197,6.466666667,13.13333333,0,0,0,0
1106-2006,2006,1106,12,18,877,1108,86,218,7.166666667,12.11111111,0,0,0,0
1106-2007,2007,1106,9,20,589,1157,68,252,7.555555556,12.6,0,0,0,0
1106-2008,2008,1106,17,10,1267,650,255,105,15,10.5,0,0,0,0
1106-2009,2009,1106,20,9,1423,592,250,79,12.5,8.777777778,Y16a,16,0,0
1106-2010,2010,1106,13,15,938,855,129,196,9.923076923,13.06666667,0,0,0,0
1106-2011,2011,1106,15,17,1040,930,185,277,12.33333333,16.29411765,W16a,16,0,0
1106-2012,2012,1106,10,19,642,1032,63,232,6.3,12.21052632,0,0,0,0
1106-2013,2013,1106,9,22,613,1293,65,340,7.222222222,15.45454545,0,0,0,0
1106-2014,2014,1106,16,12,1196,761,148,168,9.25,14,0,0,0,0
1106-2015,2015,1106,17,10,1253,656,222,121,13.05882353,12.1,0,0,0,0
1106-2016,2016,1106,12,17,872,1160,78,186,6.5,10.94117647,0,0,0,0
1107-2003,2003,1107,7,21,492,1354,33,307,4.714285714,14.61904762,0,0,0,0
1107-2004,2004,1107,5,23,329,1292,41,261,8.2,11.34782609,0,0,0,0
1107-2005,2005,1107,13,15,952,934,191,116,14.69230769,7.733333333,0,0,0,0
1107-2006,2006,1107,21,10,1507,628,244,102,11.61904762,10.2,Z16,16,0,0
1107-2007,2007,1107,23,9,1577,607,222,101,9.652173913,11.22222222,X13,13,0,0
1107-2008,2008,1107,15,15,1087,961,192,136,12.8,9.066666667,0,0,0,0
1107-2009,2009,1107,15,16,1033,951,133,187,8.866666667,11.6875,0,0,0,0
1107-2010,2010,1107,7,25,511,1496,81,286,11.57142857,11.44,0,0,0,0
1107-2011,2011,1107,16,16,1089,924,166,201,10.375,12.5625,0,0,0,0
1107-2012,2012,1107,19,14,1477,897,257,145,13.52631579,10.35714286,0,0,0,0
1107-2013,2013,1107,24,10,1601,589,249,109,10.375,10.9,Y15,15,0,0
1107-2014,2014,1107,18,14,1299,814,206,136,11.44444444,9.714285714,X16a,16,0,0
1107-2015,2015,1107,24,8,1627,469,243,74,10.125,9.25,W14,14,0,0
1107-2016,2016,1107,23,8,1784,529,322,46,14,5.75,0,0,0,0
1108-2003,2003,1108,14,19,1050,1230,130,263,9.285714286,13.84210526,0,0,0,0
1108-2004,2004,1108,11,18,792,1063,85,328,7.727272727,18.22222222,0,0,0,0
1108-2005,2005,1108,6,22,373,1228,22,366,3.666666667,16.63636364,0,0,0,0
1108-2006,2006,1108,8,20,617,1231,68,266,8.5,13.3,0,0,0,0
1108-2007,2007,1108,10,19,727,1187,49,317,4.9,16.68421053,0,0,0,0
1108-2008,2008,1108,6,23,428,1516,36,374,6,16.26086957,0,0,0,0
1108-2009,2009,1108,4,24,338,1602,52,480,13,20,0,0,0,0
1108-2010,2010,1108,2,29,124,1756,3,665,1.5,22.93103448,0,0,0,0
1108-2011,2011,1108,4,24,309,1529,24,444,6,18.5,0,0,0,0
1108-2012,2012,1108,7,21,467,1213,69,320,9.857142857,15.23809524,0,0,0,0
1108-2013,2013,1108,9,23,629,1263,105,334,11.66666667,14.52173913,0,0,0,0
1108-2014,2014,1108,9,19,586,1148,82,269,9.111111111,14.15789474,0,0,0,0
1108-2015,2015,1108,5,25,384,1517,56,380,11.2,15.2,0,0,0,0
1108-2016,2016,1108,13,15,950,914,109,280,8.384615385,18.66666667,0,0,0,0
1110-2003,2003,1110,16,14,1147,844,233,99,14.5625,7.071428571,0,0,0,0
1110-2004,2004,1110,18,13,1242,850,188,112,10.44444444,8.615384615,0,0,0,0
1110-2005,2005,1110,16,12,1160,721,172,141,10.75,11.75,0,0,0,0
1110-2006,2006,1110,12,17,858,992,135,256,11.25,15.05882353,0,0,0,0
1110-2007,2007,1110,16,14,1123,822,197,117,12.3125,8.357142857,0,0,0,0
1110-2008,2008,1110,21,11,1420,663,220,114,10.47619048,10.36363636,W15,15,0,0
1110-2009,2009,1110,24,7,1607,391,292,105,12.16666667,15,W14,14,0,0
1110-2010,2010,1110,11,20,763,1178,82,224,7.454545455,11.2,0,0,0,0
1110-2011,2011,1110,22,9,1539,512,193,115,8.772727273,12.77777778,0,0,0,0
1110-2012,2012,1110,20,11,1381,617,204,119,10.2,10.81818182,0,0,0,0
1110-2013,2013,1110,10,20,666,1069,92,273,9.2,13.65,0,0,0,0
1110-2014,2014,1110,20,12,1350,696,263,93,13.15,7.75,Z15,15,0,0
1110-2015,2015,1110,17,16,1089,849,137,132,8.058823529,8.25,0,0,0,0
1110-2016,2016,1110,12,19,792,993,82,333,6.833333333,17.52631579,0,0,0,0
1111-2003,2003,1111,16,10,1410,755,201,161,12.5625,16.1,0,0,0,0
1111-2004,2004,1111,8,21,611,1388,92,227,11.5,10.80952381,0,0,0,0
1111-2005,2005,1111,15,12,1173,758,193,142,12.86666667,11.83333333,0,0,0,0
1111-2006,2006,1111,12,16,863,1045,94,173,7.833333333,10.8125,0,0,0,0
1111-2007,2007,1111,22,7,1707,462,273,83,12.40909091,11.85714286,0,0,0,0
1111-2008,2008,1111,17,13,1297,835,184,122,10.82352941,9.384615385,0,0,0,0
1111-2009,2009,1111,12,18,958,1286,103,193,8.583333333,10.72222222,0,0,0,0
1111-2010,2010,1111,20,11,1568,703,239,106,11.95,9.636363636,0,0,0,0
1111-2011,2011,1111,14,15,1063,1010,120,174,8.571428571,11.6,0,0,0,0
1111-2012,2012,1111,11,18,839,1111,103,209,9.363636364,11.61111111,0,0,0,0
1111-2013,2013,1111,13,16,979,1075,115,177,8.846153846,11.0625,0,0,0,0
1111-2014,2014,1111,5,21,352,1316,47,260,9.4,12.38095238,0,0,0,0
1111-2015,2015,1111,12,17,829,1012,90,282,7.5,16.58823529,0,0,0,0
1111-2016,2016,1111,9,22,689,1498,83,294,9.222222222,13.36363636,0,0,0,0
1112-2003,2003,1112,25,3,2155,231,432,13,17.28,4.333333333,Z01,01,0,0
1112-2004,2004,1112,20,9,1803,735,320,56,16,6.222222222,W09,09,0,0
1112-2005,2005,1112,27,6,2213,416,390,56,14.44444444,9.333333333,X03,03,0,0
1112-2006,2006,1112,19,12,1439,822,247,96,13,8,Y08,08,0,0
1112-2007,2007,1112,20,10,1651,703,272,93,13.6,9.3,Y08,08,0,0
1112-2008,2008,1112,18,14,1395,895,263,110,14.61111111,7.857142857,Z10,10,0,0
1112-2009,2009,1112,19,13,1491,819,238,118,12.52631579,9.076923077,Y12,12,0,0
1112-2010,2010,1112,16,15,1258,971,155,159,9.6875,10.6,0,0,0,0
1112-2011,2011,1112,27,7,2134,468,388,80,14.37037037,11.42857143,X05,05,0,0
1112-2012,2012,1112,23,11,1670,692,292,61,12.69565217,5.545454545,0,0,0,0
1112-2013,2013,1112,25,7,1868,477,361,54,14.44,7.714285714,Z06,06,0,0
1112-2014,2014,1112,30,4,2232,252,523,16,17.43333333,4,Z01,01,0,0
1112-2015,2015,1112,31,3,2398,201,615,9,19.83870968,3,Z02,02,0,0
1112-2016,2016,1112,25,8,2057,623,436,33,17.44,4.125,Y06,06,0,0
1113-2003,2003,1113,18,11,1453,750,313,116,17.38888889,10.54545455,Z10,10,0,0
1113-2004,2004,1113,10,17,832,1168,118,186,11.8,10.94117647,0,0,0,0
1113-2005,2005,1113,18,13,1375,980,241,107,13.38888889,8.230769231,0,0,0,0
1113-2006,2006,1113,11,17,802,1076,132,212,12,12.47058824,0,0,0,0
1113-2007,2007,1113,7,22,430,1256,62,177,8.857142857,8.045454545,0,0,0,0
1113-2008,2008,1113,19,12,1427,658,311,158,16.36842105,13.16666667,0,0,0,0
1113-2009,2009,1113,24,9,1725,570,385,72,16.04166667,8,X06,06,0,0
1113-2010,2010,1113,22,10,1556,580,379,114,17.22727273,11.4,0,0,0,0
1113-2011,2011,1113,12,19,831,1152,122,212,10.16666667,11.15789474,0,0,0,0
1113-2012,2012,1113,10,21,698,1193,79,244,7.9,11.61904762,0,0,0,0
1113-2013,2013,1113,21,12,1562,781,235,98,11.19047619,8.166666667,0,0,0,0
1113-2014,2014,1113,21,11,1682,719,345,148,16.42857143,13.45454545,Y10,10,0,0
1113-2015,2015,1113,17,15,1250,972,243,147,14.29411765,9.8,0,0,0,0
1113-2016,2016,1113,15,17,1173,1172,177,199,11.8,11.70588235,0,0,0,0
1114-2003,2003,1114,16,12,1150,811,144,145,9,12.08333333,0,0,0,0
1114-2004,2004,1114,14,12,1000,817,196,119,14,9.916666667,0,0,0,0
1114-2005,2005,1114,15,10,1024,639,135,169,9,16.9,0,0,0,0
1114-2006,2006,1114,13,15,905,889,140,183,10.76923077,12.2,0,0,0,0
1114-2007,2007,1114,12,17,882,1014,87,212,7.25,12.47058824,0,0,0,0
1114-2008,2008,1114,18,11,1250,609,168,139,9.333333333,12.63636364,0,0,0,0
1114-2009,2009,1114,23,8,1626,433,195,100,8.47826087,12.5,0,0,0,0
1114-2010,2010,1114,6,22,445,1405,41,260,6.833333333,11.81818182,0,0,0,0
1114-2011,2011,1114,17,16,1166,1021,151,193,8.882352941,12.0625,Y16a,16,0,0
1114-2012,2012,1114,14,16,952,920,111,170,7.928571429,10.625,0,0,0,0
1114-2013,2013,1114,16,15,1144,892,174,240,10.875,16,0,0,0,0
1114-2014,2014,1114,13,17,956,1154,90,219,6.923076923,12.88235294,0,0,0,0
1114-2015,2015,1114,12,18,901,1168,111,158,9.25,8.777777778,0,0,0,0
1114-2016,2016,1114,27,4,1899,271,333,25,12.33333333,6.25,X12,12,0,0
1115-2003,2003,1115,4,24,260,1266,19,570,4.75,23.75,0,0,0,0
1115-2004,2004,1115,1,26,61,1349,7,605,7,23.26923077,0,0,0,0
1115-2005,2005,1115,5,21,337,1176,29,300,5.8,14.28571429,0,0,0,0
1115-2006,2006,1115,11,16,741,915,122,167,11.09090909,10.4375,0,0,0,0
1115-2007,2007,1115,10,19,636,1065,72,256,7.2,13.47368421,0,0,0,0
1115-2008,2008,1115,11,18,747,963,105,257,9.545454545,14.27777778,0,0,0,0
1115-2009,2009,1115,13,18,920,1023,116,363,8.923076923,20.16666667,0,0,0,0
1115-2010,2010,1115,17,15,1127,934,170,179,10,11.93333333,X16a,16,0,0
1115-2011,2011,1115,7,24,503,1347,59,430,8.428571429,17.91666667,0,0,0,0
1115-2012,2012,1115,11,22,726,1287,61,339,5.545454545,15.40909091,0,0,0,0
1115-2013,2013,1115,16,14,1133,747,183,301,11.4375,21.5,0,0,0,0
1115-2014,2014,1115,11,18,776,1048,76,322,6.909090909,17.88888889,0,0,0,0
1115-2015,2015,1115,12,20,828,1084,124,352,10.33333333,17.6,0,0,0,0
1115-2016,2016,1115,8,25,493,1374,27,482,3.375,19.28,0,0,0,0
1116-2003,2003,1116,9,19,643,1083,125,262,13.88888889,13.78947368,0,0,0,0
1116-2004,2004,1116,12,16,950,978,191,184,15.91666667,11.5,0,0,0,0
1116-2005,2005,1116,18,12,1422,725,383,121,21.27777778,10.08333333,0,0,0,0
1116-2006,2006,1116,22,9,1680,624,328,41,14.90909091,4.555555556,X08,08,0,0
1116-2007,2007,1116,21,13,1575,852,328,135,15.61904762,10.38461538,W12,12,0,0
1116-2008,2008,1116,22,11,1717,713,323,105,14.68181818,9.545454545,W09,09,0,0
1116-2009,2009,1116,14,16,1180,1058,207,182,14.78571429,11.375,0,0,0,0
1116-2010,2010,1116,14,18,1138,1253,237,212,16.92857143,11.77777778,0,0,0,0
1116-2011,2011,1116,18,13,1397,794,271,149,15.05555556,11.46153846,0,0,0,0
1116-2012,2012,1116,18,14,1398,901,268,200,14.88888889,14.28571429,0,0,0,0
1116-2013,2013,1116,19,13,1548,810,326,171,17.15789474,13.15384615,0,0,0,0
1116-2014,2014,1116,21,11,1783,785,383,94,18.23809524,8.545454545,0,0,0,0
1116-2015,2015,1116,26,8,2096,557,344,76,13.23076923,9.5,Z05,05,0,0
1116-2016,2016,1116,16,16,1371,1130,262,151,16.375,9.4375,0,0,0,0
1117-2003,2003,1117,11,15,883,966,180,146,16.36363636,9.733333333,0,0,0,0
1117-2004,2004,1117,15,11,1138,755,155,81,10.33333333,7.363636364,0,0,0,0
1117-2005,2005,1117,13,13,1046,881,153,135,11.76923077,10.38461538,0,0,0,0
1117-2006,2006,1117,10,18,763,1250,103,216,10.3,12,0,0,0,0
1117-2007,2007,1117,16,15,1200,1019,150,181,9.375,12.06666667,0,0,0,0
1117-2008,2008,1117,8,20,590,1335,70,238,8.75,11.9,0,0,0,0
1117-2009,2009,1117,11,17,736,1064,98,129,8.909090909,7.588235294,0,0,0,0
1117-2010,2010,1117,15,14,1083,886,162,151,10.8,10.78571429,0,0,0,0
1117-2011,2011,1117,15,15,1059,924,167,169,11.13333333,11.26666667,0,0,0,0
1117-2012,2012,1117,13,20,943,1147,130,218,10,10.9,0,0,0,0
1117-2013,2013,1117,18,12,1317,734,264,110,14.66666667,9.166666667,0,0,0,0
1117-2014,2014,1117,17,13,1381,895,234,152,13.76470588,11.69230769,0,0,0,0
1117-2015,2015,1117,10,18,692,1082,75,251,7.5,13.94444444,0,0,0,0
1117-2016,2016,1117,9,20,697,1400,64,212,7.111111111,10.6,0,0,0,0
1119-2003,2003,1119,3,22,209,1133,10,355,3.333333333,16.13636364,0,0,0,0
1119-2004,2004,1119,4,21,240,991,19,395,4.75,18.80952381,0,0,0,0
1119-2005,2005,1119,1,24,63,1295,20,392,20,16.33333333,0,0,0,0
1119-2006,2006,1119,3,22,200,1162,12,367,4,16.68181818,0,0,0,0
1119-2007,2007,1119,13,16,835,868,111,218,8.538461538,13.625,0,0,0,0
1119-2008,2008,1119,14,16,879,891,87,179,6.214285714,11.1875,0,0,0,0
1119-2009,2009,1119,11,19,750,991,123,205,11.18181818,10.78947368,0,0,0,0
1119-2010,2010,1119,13,15,803,884,142,167,10.92307692,11.13333333,0,0,0,0
1119-2011,2011,1119,10,19,741,1231,95,215,9.5,11.31578947,0,0,0,0
1119-2012,2012,1119,11,18,830,1102,118,237,10.72727273,13.16666667,0,0,0,0
1119-2013,2013,1119,15,15,1172,983,219,128,14.6,8.533333333,0,0,0,0
1119-2014,2014,1119,14,16,1076,1100,121,166,8.642857143,10.375,0,0,0,0
1119-2015,2015,1119,14,15,1061,1010,113,157,8.071428571,10.46666667,0,0,0,0
1119-2016,2016,1119,18,13,1465,916,185,145,10.27777778,11.15384615,0,0,0,0
1120-2003,2003,1120,19,11,1442,661,307,171,16.15789474,15.54545455,W10,10,0,0
1120-2004,2004,1120,14,14,1080,880,264,140,18.85714286,10,0,0,0,0
1120-2005,2005,1120,14,17,1097,1094,131,272,9.357142857,16,0,0,0,0
1120-2006,2006,1120,12,16,857,979,149,209,12.41666667,13.0625,0,0,0,0
1120-2007,2007,1120,16,15,1271,990,196,184,12.25,12.26666667,0,0,0,0
1120-2008,2008,1120,14,16,1071,1070,162,204,11.57142857,12.75,0,0,0,0
1120-2009,2009,1120,21,11,1568,744,285,84,13.57142857,7.636363636,0,0,0,0
1120-2010,2010,1120,14,17,1124,1202,184,159,13.14285714,9.352941176,0,0,0,0
1120-2011,2011,1120,10,20,708,1147,77,223,7.7,11.15,0,0,0,0
1120-2012,2012,1120,15,16,1047,895,178,219,11.86666667,13.6875,0,0,0,0
1120-2013,2013,1120,9,23,622,1452,124,251,13.77777778,10.91304348,0,0,0,0
1120-2014,2014,1120,14,16,1093,1051,196,207,14,12.9375,0,0,0,0
1120-2015,2015,1120,14,20,1072,1224,103,269,7.357142857,13.45,0,0,0,0
1120-2016,2016,1120,11,20,943,1249,108,337,9.818181818,16.85,0,0,0,0
1122-2003,2003,1122,20,7,1449,433,157,103,7.85,14.71428571,W13,13,0,0
1122-2004,2004,1122,19,9,1287,510,195,111,10.26315789,12.33333333,0,0,0,0
1122-2005,2005,1122,13,19,922,1168,129,186,9.923076923,9.789473684,0,0,0,0
1122-2006,2006,1122,17,14,1300,928,197,178,11.58823529,12.71428571,0,0,0,0
1122-2007,2007,1122,19,11,1390,707,210,135,11.05263158,12.27272727,0,0,0,0
1122-2008,2008,1122,24,10,1851,685,240,107,10,10.7,Y15,15,0,0
1122-2009,2009,1122,17,13,1346,889,150,159,8.823529412,12.23076923,0,0,0,0
1122-2010,2010,1122,15,15,1113,1023,88,153,5.866666667,10.2,0,0,0,0
1122-2011,2011,1122,18,13,1340,877,223,104,12.38888889,8,0,0,0,0
1122-2012,2012,1122,11,20,841,1303,106,236,9.636363636,11.8,0,0,0,0
1122-2013,2013,1122,6,23,476,1546,67,300,11.16666667,13.04347826,0,0,0,0
1122-2014,2014,1122,10,18,810,1300,67,199,6.7,11.05555556,0,0,0,0
1122-2015,2015,1122,6,22,406,1387,37,307,6.166666667,13.95454545,0,0,0,0
1122-2016,2016,1122,16,17,1334,1132,127,205,7.9375,12.05882353,Y16,16,0,0
1123-2003,2003,1123,13,17,1053,1146,137,219,10.53846154,12.88235294,0,0,0,0
1123-2004,2004,1123,13,15,981,982,132,153,10.15384615,10.2,0,0,0,0
1123-2005,2005,1123,14,13,1028,856,127,101,9.071428571,7.769230769,0,0,0,0
1123-2006,2006,1123,8,18,542,1084,87,163,10.875,9.055555556,0,0,0,0
1123-2007,2007,1123,9,22,620,1228,118,244,13.11111111,11.09090909,0,0,0,0
1123-2008,2008,1123,6,24,419,1314,44,229,7.333333333,9.541666667,0,0,0,0
1123-2009,2009,1123,14,17,837,958,97,154,6.928571429,9.058823529,0,0,0,0
1123-2010,2010,1123,14,15,953,796,128,195,9.142857143,13,0,0,0,0
1123-2011,2011,1123,18,12,1286,739,215,134,11.94444444,11.16666667,0,0,0,0
1123-2012,2012,1123,14,15,994,833,189,145,13.5,9.666666667,0,0,0,0
1123-2013,2013,1123,14,15,1019,862,108,211,7.714285714,14.06666667,0,0,0,0
1123-2014,2014,1123,3,25,232,1568,10,313,3.333333333,12.52,0,0,0,0
1123-2015,2015,1123,6,23,421,1439,76,224,12.66666667,9.739130435,0,0,0,0
1123-2016,2016,1123,18,13,1325,836,198,99,11,7.615384615,0,0,0,0
1124-2003,2003,1124,14,14,1070,862,211,194,15.07142857,13.85714286,0,0,0,0
1124-2004,2004,1124,7,20,497,1186,54,268,7.714285714,13.4,0,0,0,0
1124-2005,2005,1124,8,19,622,1149,142,328,17.75,17.26315789,0,0,0,0
1124-2006,2006,1124,4,13,330,744,57,216,14.25,16.61538462,0,0,0,0
1124-2007,2007,1124,14,16,1180,1063,228,182,16.28571429,11.375,0,0,0,0
1124-2008,2008,1124,20,10,1655,767,259,71,12.95,7.1,Z11,11,0,0
1124-2009,2009,1124,19,14,1516,970,296,151,15.57894737,10.78571429,0,0,0,0
1124-2010,2010,1124,24,7,1861,517,354,39,14.75,5.571428571,X03,03,0,0
1124-2011,2011,1124,17,13,1276,814,293,137,17.23529412,10.53846154,0,0,0,0
1124-2012,2012,1124,26,7,1975,476,369,72,14.19230769,10.28571429,Y03,03,0,0
1124-2013,2013,1124,17,14,1325,949,300,100,17.64705882,7.142857143,0,0,0,0
1124-2014,2014,1124,22,11,1710,725,285,107,12.95454545,9.727272727,Z06,06,0,0
1124-2015,2015,1124,23,9,1686,526,345,63,15,7,Z03,03,0,0
1124-2016,2016,1124,21,11,1719,723,338,124,16.0952381,11.27272727,Z05,05,0,0
1125-2003,2003,1125,16,12,1217,812,182,133,11.375,11.08333333,0,0,0,0
1125-2004,2004,1125,20,8,1471,554,232,41,11.6,5.125,0,0,0,0
1125-2005,2005,1125,14,16,1056,1052,135,128,9.642857143,8,0,0,0,0
1125-2006,2006,1125,20,10,1741,714,266,89,13.3,8.9,X15,15,0,0
1125-2007,2007,1125,22,9,1696,556,353,95,16.04545455,10.55555556,W15,15,0,0
1125-2008,2008,1125,24,8,1974,564,257,96,10.70833333,12,Z15,15,0,0
1125-2009,2009,1125,19,12,1510,864,293,107,15.42105263,8.916666667,0,0,0,0
1125-2010,2010,1125,19,12,1479,787,259,117,13.63157895,9.75,0,0,0,0
1125-2011,2011,1125,30,4,2451,281,654,28,21.8,7,Y13,13,0,0
1125-2012,2012,1125,26,7,2168,518,496,38,19.07692308,5.428571429,X14,14,0,0
1125-2013,2013,1125,24,6,1905,402,429,61,17.875,10.16666667,Z11,11,0,0
1125-2014,2014,1125,23,9,1916,628,269,109,11.69565217,12.11111111,0,0,0,0
1125-2015,2015,1125,21,10,1617,670,206,94,9.80952381,9.4,W15,15,0,0
1125-2016,2016,1125,19,11,1645,829,203,92,10.68421053,8.363636364,0,0,0,0
1126-2003,2003,1126,8,22,588,1353,65,311,8.125,14.13636364,0,0,0,0
1126-2004,2004,1126,8,21,568,1143,51,279,6.375,13.28571429,0,0,0,0
1126-2005,2005,1126,13,17,948,983,96,222,7.384615385,13.05882353,0,0,0,0
1126-2006,2006,1126,15,15,1090,872,135,230,9,15.33333333,0,0,0,0
1126-2007,2007,1126,7,21,368,1116,20,330,2.857142857,15.71428571,0,0,0,0
1126-2008,2008,1126,9,20,536,1121,60,190,6.666666667,9.5,0,0,0,0
1126-2009,2009,1126,14,16,856,848,139,199,9.928571429,12.4375,0,0,0,0
1126-2010,2010,1126,14,16,920,834,132,205,9.428571429,12.8125,0,0,0,0
1126-2011,2011,1126,17,12,1192,680,131,198,7.705882353,16.5,0,0,0,0
1126-2012,2012,1126,16,17,1155,988,127,195,7.9375,11.47058824,0,0,0,0
1126-2013,2013,1126,12,20,887,1209,115,214,9.583333333,10.7,0,0,0,0
1126-2014,2014,1126,5,25,360,1483,52,332,10.4,13.28,0,0,0,0
1126-2015,2015,1126,9,21,590,1121,83,235,9.222222222,11.19047619,0,0,0,0
1126-2016,2016,1126,12,18,889,1183,127,282,10.58333333,15.66666667,0,0,0,0
1127-2003,2003,1127,14,13,1003,794,180,170,12.85714286,13.07692308,0,0,0,0
1127-2004,2004,1127,14,16,888,914,128,211,9.142857143,13.1875,0,0,0,0
1127-2005,2005,1127,12,17,794,990,155,210,12.91666667,12.35294118,0,0,0,0
1127-2006,2006,1127,16,13,1051,761,169,140,10.5625,10.76923077,0,0,0,0
1127-2007,2007,1127,13,16,918,987,135,148,10.38461538,9.25,0,0,0,0
1127-2008,2008,1127,14,16,954,1022,155,180,11.07142857,11.25,0,0,0,0
